site_name,image_date,image_product,class,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,NDSI,geometry
Gulkana,20210610,Landsat,1,1.2871375,1.3263525,1.31494,1.2889525,1.05072,0.22055,0.2256925,1.002155,0.712730138,POINT (-145.4650865772534 63.26308217288386)
Gulkana,20210610,Landsat,1,1.30592,1.3407625,1.32352,1.2859825,1.022615,0.21912,0.2234925,0.99429,0.715915573,POINT (-145.46781970736635 63.26468591842413)
Gulkana,20210610,Landsat,1,1.3292675,1.366915,1.3584175,1.325555,1.06986,0.2257475,0.23067,1.003145,0.714994966,POINT (-145.46199799499033 63.26604511455944)
Gulkana,20210610,Landsat,1,1.3222,1.349535,1.324345,1.2856525,1.04588,0.21527,0.221265,0.9905225,0.720358661,POINT (-145.46421846063043 63.268811425981184)
Gulkana,20210610,Landsat,1,1.4196325,1.4534025,1.4361875,1.4093475,1.1720225,0.2159025,0.2221725,0.987305,0.738631067,POINT (-145.4678078432172 63.27128772767461)
Gulkana,20210610,Landsat,1,1.42021,1.4509275,1.431155,1.3995575,1.1526075,0.217525,0.2242625,0.9795775,0.736122231,POINT (-145.4685640985502 63.27403820260241)
Gulkana,20210610,Landsat,1,1.402555,1.433575,1.40547,1.3692525,1.1227975,0.216315,0.2227225,0.99,0.733238376,POINT (-145.4739792229658 63.271861828839725)
Gulkana,20210610,Landsat,1,1.4193575,1.450515,1.43,1.3993925,1.15412,0.2152975,0.222035,0.9856275,0.738287453,POINT (-145.46913327640547 63.27180982205631)
Gulkana,20210610,Landsat,1,1.2616725,1.292775,1.2749,1.233815,0.9874425,0.2392775,0.2453275,1.005345,0.683950528,POINT (-145.45942004140613 63.26576332594184)
Gulkana,20210610,Landsat,1,1.3023725,1.3407075,1.33485,1.300695,1.050885,0.2177725,0.2255825,1.0050975,0.719477851,POINT (-145.45828141992112 63.268087079169035)
Gulkana,20210610,Landsat,1,1.354925,1.392985,1.3823425,1.3490675,1.09648,0.219285,0.224895,0.99561,0.726172284,POINT (-145.4600139805358 63.2694262160145)
Gulkana,20210610,Landsat,1,1.3104025,1.3404875,1.3149125,1.2774575,1.0418925,0.2143075,0.2212375,0.9910725,0.719716588,POINT (-145.4624236174794 63.268639705718634)
Gulkana,20210610,Landsat,1,1.3038025,1.336885,1.31681,1.2764125,1.01904,0.2205775,0.2242625,0.99594,0.713048922,POINT (-145.46639811867655 63.26385806785069)
Gulkana,20210610,Landsat,1,1.3730475,1.3985675,1.3682075,1.3313575,1.09604,0.212905,0.2211,0.9846375,0.730689625,POINT (-145.45128612935974 63.27659372655826)
Gulkana,20210610,Landsat,1,1.3720025,1.3958725,1.363395,1.3228875,1.0872675,0.2134,0.22165,0.9832625,0.729324357,POINT (-145.4539206236939 63.27794273813787)
Gulkana,20210610,Landsat,1,1.34629,1.37225,1.346015,1.313565,1.0876525,0.213235,0.220715,0.9857925,0.7264903,POINT (-145.4431844342311 63.27625148337171)
Gulkana,20210610,Landsat,1,1.330725,1.3547875,1.327095,1.2935725,1.0694475,0.2128775,0.2205225,0.9868375,0.723530777,POINT (-145.44699127362014 63.27466794153388)
Gulkana,20210610,Landsat,1,1.468225,1.5012525,1.4846975,1.456015,1.2142075,0.21384,0.222035,0.98659,0.748206913,POINT (-145.45039743226556 63.28054523682345)
Gulkana,20210610,Landsat,1,1.45629,1.480325,1.47653,1.438085,1.1950125,0.24112,0.25168,0.96602,0.719244316,POINT (-145.45626356428895 63.28264029704169)
Gulkana,20210610,Landsat,1,1.4254625,1.450515,1.4309625,1.3928475,1.1577775,0.2337775,0.237655,0.9807325,0.719142329,POINT (-145.45191150438566 63.28386267611164)
Gulkana,20210610,Landsat,2,0.7700275,0.7371925,0.6637675,0.6039825,0.464365,0.19635,0.20801,0.97988,0.543434473,POINT (-145.42476307076268 63.28315879726631)
Gulkana,20210610,Landsat,2,0.80212,0.7681575,0.6920375,0.632335,0.488785,0.1972025,0.208505,0.981585,0.55646957,POINT (-145.4273256405241 63.28374574052853)
Gulkana,20210610,Landsat,2,0.855745,0.8254125,0.7510525,0.691185,0.538945,0.1974225,0.20823,0.9802925,0.583705422,POINT (-145.42867801621617 63.28584283113319)
Gulkana,20210610,Landsat,2,0.8752425,0.8466975,0.767525,0.7076025,0.55187,0.1975325,0.2095225,0.97966,0.59063061,POINT (-145.42659874876 63.28673400593644)
Gulkana,20210610,Landsat,2,0.96635,0.946,0.8751875,0.81191,0.6301625,0.196735,0.20988,0.9800725,0.632930552,POINT (-145.42530310483252 63.287735383669876)
Gulkana,20210610,Landsat,2,0.76252,0.722535,0.64746,0.58872,0.4558675,0.196845,0.2079,0.9837025,0.533711159,POINT (-145.426704511053 63.282723189974504)
Gulkana,20210610,Landsat,2,0.803385,0.771705,0.699105,0.63855,0.4920575,0.19646,0.2084225,0.97812,0.56126021,POINT (-145.42515865623727 63.284178863631944)
Gulkana,20210610,Landsat,2,0.7729975,0.7458275,0.67826,0.61985,0.47685,0.1970375,0.2089175,0.9774875,0.549781646,POINT (-145.4224066652785 63.282929583032946)
Gulkana,20210610,Landsat,2,0.7553975,0.725395,0.6604125,0.6032675,0.462385,0.1973675,0.2089175,0.9828775,0.539817902,POINT (-145.4236855666144 63.28223275471123)
Gulkana,20210610,Landsat,2,0.7588625,0.7277325,0.670835,0.61127,0.4702225,0.2087525,0.2161225,0.99011,0.525340003,POINT (-145.42730197527894 63.2800382022527)
Gulkana,20210610,Landsat,2,0.7906525,0.768075,0.7069975,0.6578,0.5115275,0.2014375,0.2119975,0.98802,0.556517527,POINT (-145.4288442419558 63.28071542127665)
Gulkana,20210610,Landsat,2,0.790515,0.76021,0.685025,0.6291175,0.48884,0.2007225,0.210485,0.9852425,0.546772641,POINT (-145.43489596687232 63.27727790813621)
Gulkana,20210610,Landsat,2,0.8404,0.82357,0.7571025,0.69916,0.53097,0.2004475,0.21054,0.987085,0.581332567,POINT (-145.43263063670386 63.27745613687059)
Gulkana,20210610,Landsat,2,0.759275,0.7265775,0.658625,0.6013425,0.4644475,0.200805,0.2106225,0.98406,0.532701907,POINT (-145.43388165380276 63.275184592288085)
Gulkana,20210610,Landsat,2,0.7520425,0.72226,0.642895,0.5892425,0.461615,0.201245,0.2102925,0.98516,0.523195205,POINT (-145.43801615602365 63.275890192730195)
Gulkana,20210610,Landsat,2,0.8261275,0.7898825,0.71566,0.6595875,0.5277525,0.2080925,0.2187075,0.963545,0.549462654,POINT (-145.37270884730194 63.274041731117535)
Gulkana,20210610,Landsat,2,0.7126075,0.664565,0.5921025,0.5452975,0.45837,0.20614,0.21714,0.958375,0.483515348,POINT (-145.3719016562995 63.27235658476075)
Gulkana,20210610,Landsat,2,0.72908,0.687445,0.6257625,0.580085,0.4786925,0.2122175,0.2224475,0.9658275,0.493502232,POINT (-145.3742355014741 63.2709612531331)
Gulkana,20210610,Landsat,2,0.7002325,0.655985,0.5813775,0.53009,0.4233075,0.2006675,0.212025,0.9658,0.486813419,POINT (-145.36544220307147 63.276904081183794)
Gulkana,20210610,Landsat,2,0.701965,0.6512275,0.5725775,0.51843,0.4103275,0.197065,0.20955,0.9669275,0.487905099,POINT (-145.36518871591988 63.27938966434908)
Gulkana,20210610,Landsat,2,0.7398875,0.69454,0.613305,0.556765,0.44033,0.1984125,0.2107875,0.966845,0.51112918,POINT (-145.36556778092793 63.28066365294777)
Gulkana,20210610,Landsat,2,0.8978475,0.8770025,0.8283275,0.77242,0.60984,0.2427975,0.248985,0.978065,0.546649551,POINT (-145.42251844728594 63.285012992446596)
Gulkana,20210610,Landsat,2,0.9260075,0.91102,0.8463675,0.7843275,0.59939,0.20152,0.2119425,0.9749575,0.615378559,POINT (-145.41318852601498 63.284401530662414)
Gulkana,20210610,Landsat,2,0.8410875,0.81697,0.7583125,0.7019925,0.5411725,0.2085875,0.216315,0.9750675,0.5685438,POINT (-145.41181221815438 63.282761079458446)
Gulkana,20210610,Landsat,2,0.7673875,0.73436,0.6652525,0.606485,0.4687375,0.2006125,0.2105125,0.9844725,0.53661945,POINT (-145.43552862116127 63.27527968576309)
Gulkana,20210610,Landsat,2,0.7351575,0.7005075,0.632445,0.57981,0.454465,0.201025,0.20999,0.9850775,0.51761911,POINT (-145.43676685479272 63.275538457379895)
