site_name,image_date,image_product,class,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDSI,geometry
Gulkana,20210615,Sentinel-2_TOA,1,0.7801,0.902,0.8894,0.9226,0.8886,0.8524,0.7979,0.748,0.734,0.2445,0.001,0.0164,0.997753819,POINT (-145.46895775759225 63.268249157217824)
Gulkana,20210615,Sentinel-2_TOA,1,0.798,0.8487,0.8449,0.8904,0.8708,0.8363,0.7979,0.7478,0.7453,0.2556,0.0012,0.0179,0.997163456,POINT (-145.46496984529628 63.26313081760279)
Gulkana,20210615,Sentinel-2_TOA,1,0.6188,0.7609,0.7488,0.7779,0.7414,0.7082,0.675,0.6227,0.6179,0.1978,0.0011,0.0165,0.997066276,POINT (-145.46924589974486 63.2637992173076)
Gulkana,20210615,Sentinel-2_TOA,1,0.7129,0.6941,0.6625,0.6869,0.6712,0.6389,0.6073,0.5601,0.5604,0.2026,0.001,0.0187,0.996985682,POINT (-145.47149161118762 63.263964400704126)
Gulkana,20210615,Sentinel-2_TOA,1,0.5889,0.7027,0.6731,0.6843,0.6683,0.6442,0.5885,0.5473,0.5472,0.1731,0.0012,0.0211,0.996440753,POINT (-145.47269718329343 63.26366700814067)
Gulkana,20210615,Sentinel-2_TOA,1,0.4974,0.6321,0.6137,0.6168,0.6779,0.6506,0.6047,0.4899,0.5666,0.1662,0.0013,0.0287,0.995772358,POINT (-145.47236038100004 63.265299674599525)
Gulkana,20210615,Sentinel-2_TOA,1,0.6004,0.6573,0.6287,0.6352,0.6122,0.6158,0.5654,0.5118,0.523,0.1665,0.0008,0.0242,0.9974583,POINT (-145.4707242997271 63.26189670522538)
Gulkana,20210615,Sentinel-2_TOA,1,0.503,0.6412,0.6089,0.6145,0.5877,0.5854,0.555,0.5027,0.4885,0.153,0.001,0.0283,0.996720774,POINT (-145.47086132735737 63.26285737590977)
Gulkana,20210615,Sentinel-2_TOA,1,0.556,0.5841,0.5548,0.5546,0.5412,0.5125,0.4907,0.4505,0.4535,0.1548,0.001,0.0154,0.996401583,POINT (-145.4689659776197 63.26199065587067)
Gulkana,20210615,Sentinel-2_TOA,1,0.5583,0.6319,0.6089,0.6232,0.619,0.5895,0.5686,0.5095,0.5215,0.1569,0.0011,0.0175,0.996393443,POINT (-145.46780209390636 63.262683429886145)
