site_name,image_date,image_product,class,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDSI,geometry
Gulkana,20210615,Sentinel-2_SR,1,0.8631,0.9104,0.9144,0.8944,0.8835,0.8148,0.7509,0.7305,0.6821,0.6861,0.0181,0.0147,0.961179625,POINT (-145.489996449089 63.29177929048743)
Gulkana,20210615,Sentinel-2_SR,1,0.5985,0.9488,0.9496,0.9208,0.8322,0.8136,0.7317,0.7476,0.6347,0.5204,0.0191,0.0165,0.960565707,POINT (-145.49250023597878 63.292281441917495)
Gulkana,20210615,Sentinel-2_SR,1,0.8185,0.8688,0.8864,0.864,0.8792,0.8077,0.7367,0.6932,0.6536,0.6623,0.0144,0.0133,0.968028419,POINT (-145.46528122747017 63.26957175526821)
Gulkana,20210615,Sentinel-2_SR,1,0.8258,0.8832,0.904,0.8808,0.8989,0.8286,0.7518,0.7108,0.6652,0.6689,0.0134,0.0134,0.970787007,POINT (-145.46781724351231 63.26927473600342)
Gulkana,20210615,Sentinel-2_SR,1,0.8327,0.9048,0.9176,0.8824,0.9013,0.8245,0.7514,0.6984,0.6535,0.6621,0.0158,0.0148,0.966145275,POINT (-145.47081921881627 63.26969619422702)
Gulkana,20210615,Sentinel-2_SR,1,0.838,0.8936,0.9016,0.8696,0.8895,0.8108,0.7298,0.6916,0.6436,0.6539,0.0146,0.0122,0.968129229,POINT (-145.46912619467545 63.27039152310211)
Gulkana,20210615,Sentinel-2_SR,1,0.8334,0.8888,0.904,0.8752,0.8941,0.8207,0.7461,0.6944,0.6585,0.658,0.0143,0.0118,0.968855494,POINT (-145.4674244909503 63.27124890233467)
Gulkana,20210615,Sentinel-2_SR,1,0.8285,0.8656,0.8816,0.8496,0.8688,0.7982,0.7167,0.6711,0.6311,0.6353,0.0122,0.0107,0.972700828,POINT (-145.46657087278336 63.272407289747854)
Gulkana,20210615,Sentinel-2_SR,1,0.7319,0.8216,0.8368,0.8028,0.8214,0.739,0.6703,0.6336,0.5908,0.5872,0.0115,0.0119,0.97288695,POINT (-145.464235386452 63.27163617291088)
Gulkana,20210615,Sentinel-2_SR,1,0.8478,0.8968,0.908,0.864,0.8855,0.8063,0.74,0.696,0.6589,0.6572,0.0132,0.011,0.971341728,POINT (-145.46920812817527 63.27292214988883)
Gulkana,20210615,Sentinel-2_SR,1,0.8593,0.9016,0.916,0.8792,0.9014,0.8286,0.7534,0.7021,0.6689,0.6742,0.0145,0.0121,0.96883396,POINT (-145.47119433862397 63.27213266872856)
Gulkana,20210615,Sentinel-2_SR,1,0.8708,0.9352,0.9448,0.9096,0.9323,0.8525,0.7759,0.7292,0.6964,0.6887,0.0157,0.0129,0.967308693,POINT (-145.47283086690695 63.271144815703046)
Gulkana,20210615,Sentinel-2_SR,1,0.8658,0.936,0.9312,0.8936,0.899,0.83,0.7605,0.7271,0.6868,0.6716,0.0199,0.0149,0.958153717,POINT (-145.4770380306227 63.27329798497584)
Gulkana,20210615,Sentinel-2_SR,1,0.8794,0.9232,0.9216,0.896,0.9071,0.8439,0.7673,0.7272,0.6894,0.6878,0.0178,0.0146,0.96210347,POINT (-145.47380082590578 63.27323089980536)
Gulkana,20210615,Sentinel-2_SR,1,0.8628,0.9072,0.916,0.8824,0.8952,0.8252,0.7527,0.7148,0.6736,0.6741,0.0163,0.0124,0.965032715,POINT (-145.47184547811023 63.27343696141364)
Gulkana,20210615,Sentinel-2_SR,1,0.8551,0.9056,0.9144,0.8752,0.8943,0.8203,0.7537,0.7084,0.6698,0.6753,0.015,0.0108,0.96772111,POINT (-145.47053102753614 63.27377961073122)
Gulkana,20210615,Sentinel-2_SR,1,0.887,0.9408,0.9472,0.9128,0.9269,0.8523,0.7833,0.7364,0.7013,0.6976,0.0177,0.0146,0.96331226,POINT (-145.47089768407443 63.27501598703434)
Gulkana,20210615,Sentinel-2_SR,1,0.8808,0.9256,0.928,0.8944,0.9127,0.8365,0.7729,0.7276,0.6881,0.6867,0.0184,0.0163,0.961115807,POINT (-145.47365691244684 63.27459152645099)
Gulkana,20210615,Sentinel-2_SR,1,0.8471,0.8904,0.8856,0.86,0.8877,0.8163,0.7542,0.706,0.6689,0.6774,0.0169,0.0135,0.962548476,POINT (-145.47554205798576 63.27435225552737)
Gulkana,20210615,Sentinel-2_SR,1,0.8761,0.9048,0.8968,0.856,0.8647,0.7974,0.73,0.696,0.6479,0.6707,0.0167,0.0148,0.963437329,POINT (-145.4755370516422 63.275811667610114)
Gulkana,20210615,Sentinel-2_SR,1,0.8664,0.8992,0.8992,0.8592,0.8704,0.7998,0.7407,0.6992,0.6587,0.669,0.0155,0.0143,0.966109107,POINT (-145.4728034431503 63.275749951098625)
