geometry,Class,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,NDSI,image_date,site_name
POINT (-121.0489860585771 48.352744420129724),4,0.2416425,0.2591875,0.30214250000000004,0.3204575,0.3573625,0.40590000000000004,0.3608275,1.1216700000000002,-0.14654134462267446,20210819,SouthCascade
POINT (-121.04758118193638 48.35285234599866),4,0.2520375,0.27458750000000004,0.33462000000000003,0.3668775,0.38194750000000005,0.45402500000000007,0.41093250000000003,1.1490875,-0.15140525838621943,20210819,SouthCascade
POINT (-121.04686509441996 48.35354779759653),4,0.24805000000000002,0.26598000000000005,0.307725,0.3266175,0.337755,0.40040000000000003,0.35785750000000005,1.1368775000000002,-0.13087378640776698,20210819,SouthCascade
POINT (-121.04629764281032 48.353970902822496),4,0.2413125,0.25916,0.29903500000000005,0.32120000000000004,0.33781000000000005,0.39300250000000003,0.36300000000000004,1.1264275000000001,-0.1357838267434929,20210819,SouthCascade
POINT (-121.04711146794749 48.35425234467014),4,0.29262750000000004,0.31460000000000005,0.3650625,0.39534,0.4185225,0.49434000000000006,0.44783750000000005,1.1379225000000002,-0.1504271863300375,20210819,SouthCascade
POINT (-121.04781744731218 48.353498368004765),4,0.24101000000000003,0.25902250000000004,0.3073675,0.3309075,0.367895,0.40755,0.362835,1.1503800000000002,-0.1401315536408047,20210819,SouthCascade
POINT (-121.04543940240208 48.3556972209631),4,0.25599750000000004,0.27436750000000004,0.31179500000000004,0.34908500000000003,0.36872000000000005,0.471735,0.42410500000000007,1.1317075,-0.20412747437877293,20210819,SouthCascade
POINT (-121.04977918490975 48.35568414414451),4,0.28883250000000005,0.31075,0.38293750000000004,0.410575,0.45199000000000006,0.534105,0.4508075,1.135145,-0.1648424146100099,20210819,SouthCascade
POINT (-121.04984630151554 48.35802734015051),4,0.22547250000000002,0.24549250000000003,0.274065,0.28836500000000004,0.315865,0.34922250000000005,0.304315,1.11969,-0.12058239576439451,20210819,SouthCascade
POINT (-121.04992515298821 48.3508694994984),4,0.2751925,0.28789750000000003,0.3493875,0.36011250000000006,0.39072,0.46153250000000007,0.434665,1.1152075000000001,-0.13829354313619105,20210819,SouthCascade
POINT (-121.0487871756142 48.35056555636954),4,0.26653000000000004,0.302225,0.33621500000000004,0.37565000000000004,0.39630250000000006,0.45611500000000005,0.4456375,1.13663,-0.1513258364570318,20210819,SouthCascade
POINT (-121.04773023278284 48.35042142118869),4,0.28176500000000004,0.30492,0.3636325,0.393305,0.4207775,0.5054500000000001,0.4729725,1.15643,-0.16318071069202295,20210819,SouthCascade
POINT (-121.04700074603254 48.350833267490984),4,0.2552825,0.27997750000000005,0.325985,0.34773750000000003,0.38618250000000004,0.48405500000000007,0.43876250000000006,1.16083,-0.19513851167843566,20210819,SouthCascade
POINT (-121.04793947538572 48.35111695561849),4,0.2529175,0.2748625,0.31369250000000004,0.3283225,0.36674,0.441595,0.40980500000000003,1.1478775,-0.16934279992718,20210819,SouthCascade
POINT (-121.04895928950127 48.35125208525904),4,0.24618,0.27222250000000003,0.3042325,0.32711250000000003,0.3411925,0.39591750000000003,0.36883000000000005,1.1284075,-0.1309505106048704,20210819,SouthCascade
POINT (-121.04704788545966 48.35151753362403),4,0.25883,0.2792625,0.33844250000000003,0.3694625,0.41082250000000003,0.49709000000000003,0.43507750000000006,1.15962,-0.1898759174538393,20210819,SouthCascade
POINT (-121.045697105375 48.35152640649226),4,0.280445,0.3040125,0.3575825,0.38722750000000006,0.44448250000000006,0.5380100000000001,0.47833500000000007,1.1781825000000001,-0.2014616022353917,20210819,SouthCascade
POINT (-121.04627104236955 48.35217020961479),4,0.25910500000000003,0.2754125,0.3191375,0.333025,0.3624775,0.43318000000000006,0.4033975,1.1554950000000002,-0.15158825894652195,20210819,SouthCascade
POINT (-121.044589345928 48.35201471996106),4,0.26820750000000004,0.28646750000000004,0.326755,0.343915,0.43307000000000007,0.5164500000000001,0.44662750000000007,1.1801625,-0.22496901702432984,20210819,SouthCascade
POINT (-121.04527138296162 48.35246046513077),4,0.28094,0.3035725,0.36663,0.40216,0.43199750000000003,0.5181825000000001,0.45619750000000003,1.168365,-0.17128205128205137,20210819,SouthCascade
POINT (-121.04365717265897 48.35248953574549),4,0.25734500000000005,0.2712875,0.30307750000000006,0.31427000000000005,0.4391475,0.5184850000000001,0.42990750000000005,1.2057650000000002,-0.26219246861924683,20210819,SouthCascade
POINT (-121.0435895093989 48.3529216888124),4,0.2572625,0.271645,0.30541500000000005,0.315755,0.470745,0.49863,0.4010325,1.1938300000000002,-0.24030371434434633,20210819,SouthCascade
POINT (-121.0423842591141 48.35181636973767),4,0.292215,0.3129775,0.36066250000000005,0.3972375,0.4338675,0.5568200000000001,0.5052850000000001,1.2213575,-0.21379971825075683,20210819,SouthCascade
POINT (-121.04202993479846 48.35100152240768),4,0.29878750000000004,0.31471000000000005,0.36737250000000005,0.3941025,0.42017250000000006,0.5239575000000001,0.48037,1.1967725,-0.17567567567567569,20210819,SouthCascade
POINT (-121.04298222470963 48.35095212952434),4,0.30574500000000004,0.32626000000000005,0.39041750000000003,0.42952250000000003,0.44954250000000007,0.5371575000000001,0.48727250000000005,1.1813175,-0.15819745034094282,20210819,SouthCascade
POINT (-121.04161825168268 48.3500606232594),4,0.30450750000000004,0.32265750000000004,0.3822225,0.40238,0.42270250000000004,0.48642,0.46040500000000006,1.1588500000000002,-0.11995441162503562,20210819,SouthCascade
POINT (-121.04427575918096 48.35020050566009),4,0.3262875,0.33858000000000005,0.41406750000000003,0.4243525,0.45732500000000004,0.46799500000000005,0.42908250000000003,1.11551,-0.06113795791114576,20210819,SouthCascade
POINT (-121.0420865245349 48.35359448498267),4,0.283855,0.29757750000000005,0.3486175,0.38549500000000003,0.43879,0.5964750000000001,0.529595,1.2275175,-0.26225739808537263,20210819,SouthCascade
POINT (-121.04225141690083 48.355372670849164),4,0.2564925,0.27222250000000003,0.3072575,0.32579250000000004,0.36652,0.45575750000000004,0.42097,1.1614625,-0.19462264830966627,20210819,SouthCascade
POINT (-121.04263619109066 48.356054733560065),4,0.253,0.271535,0.3186975,0.34845250000000005,0.3793075,0.45608750000000003,0.40702750000000004,1.1471900000000002,-0.17732661318946547,20210819,SouthCascade
POINT (-121.03456789829856 48.34941570296807),4,0.279235,0.30384750000000005,0.36102,0.37625500000000006,0.39212250000000004,0.4428325,0.42292250000000003,1.2191025000000002,-0.10177551229858713,20210819,SouthCascade
POINT (-121.03471383429302 48.35500215222564),4,0.26081000000000004,0.28096750000000004,0.3185875,0.3289,0.35359500000000005,0.48072750000000003,0.4612025,1.1860750000000002,-0.20284868919011906,20210819,SouthCascade
